Key,Created [created],Resolved [resolutiondate],Status [status],Priority [priority],Fix Version/s,Environment,Component/s
DDR-1,2025-09-01T09:15:00,,Open,High,v1.2,QA,UI
DDR-2,2025-09-02T11:30:00,2025-09-05T14:00:00,Resolved,Medium,v1.2,QA,Backend
DDR-3,2025-09-03T08:45:00,2025-09-06T17:30:00,Closed,Low,v1.1,Prod,UI
DDR-4,2025-09-04T13:00:00,,In Progress,Critical,v1.3,UAT,Database
DDR-5,2025-09-05T10:00:00,,Open,High,v1.2,QA,API
DDR-6,2025-09-06T09:20:00,2025-09-07T15:10:00,Closed,Medium,v1.2,Prod,Backend
DDR-7,2025-09-07T16:45:00,,Open,Low,v1.4,UAT,UI
DDR-8,2025-09-08T08:10:00,,In Progress,High,v1.3,QA,Database
DDR-9,2025-09-09T14:25:00,2025-09-11T19:40:00,Resolved,Critical,v1.2,Prod,API
DDR-10,2025-09-10T11:00:00,,Open,Medium,v1.4,QA,UI
DDR-11,2025-09-10T09:12:00,2025-09-15T16:45:00,Closed,Medium,v1.4,Prod,Backend
DDR-12,2025-09-11T12:30:00,,Open,High,v1.3,UAT,UI
DDR-13,2025-09-12T15:00:00,,In Progress,Critical,v1.3,QA,Database
DDR-14,2025-09-13T10:20:00,2025-09-18T09:50:00,Closed,Low,v1.2,QA,UI
DDR-15,2025-09-14T08:35:00,,Open,Medium,v1.5,Prod,API
DDR-16,2025-09-15T14:00:00,2025-09-20T12:15:00,Resolved,High,v1.3,UAT,Backend
DDR-17,2025-09-16T09:50:00,,Open,Low,v1.3,QA,UI
DDR-18,2025-09-17T13:40:00,2025-09-19T18:25:00,Closed,Medium,v1.5,Prod,Database
DDR-19,2025-09-18T08:30:00,,In Progress,Critical,v1.4,UAT,UI
DDR-20,2025-09-19T11:25:00,,Open,High,v1.2,QA,Backend
DDR-21,2025-09-20T09:15:00,,Open,Low,v1.3,QA,API
DDR-22,2025-09-21T12:45:00,2025-09-23T17:20:00,Closed,Medium,v1.4,Prod,UI
DDR-23,2025-09-22T08:50:00,,Open,High,v1.2,UAT,Database
DDR-24,2025-09-23T14:30:00,2025-09-27T10:05:00,Resolved,Critical,v1.3,QA,Backend
DDR-25,2025-09-24T10:10:00,,Open,Low,v1.4,Prod,API
DDR-26,2025-09-25T09:40:00,,In Progress,Medium,v1.5,QA,UI
DDR-27,2025-09-26T16:20:00,2025-09-28T15:55:00,Closed,High,v1.2,UAT,Database
DDR-28,2025-09-27T08:25:00,,Open,Critical,v1.3,Prod,Backend
DDR-29,2025-09-28T12:10:00,2025-09-30T18:40:00,Resolved,Low,v1.4,QA,UI
DDR-30,2025-09-29T13:55:00,,Open,Medium,v1.5,UAT,API
DDR-31,2025-09-01T09:30:00,,Open,High,v1.2,QA,Database
DDR-32,2025-09-02T10:45:00,2025-09-04T14:15:00,Closed,Medium,v1.2,Prod,UI
DDR-33,2025-09-03T08:20:00,,In Progress,Low,v1.3,QA,Backend
DDR-34,2025-09-04T15:10:00,,Open,Critical,v1.4,UAT,API
DDR-35,2025-09-05T09:55:00,,Open,Medium,v1.5,Prod,UI
DDR-36,2025-09-06T11:40:00,2025-09-09T17:25:00,Resolved,High,v1.2,QA,Database
DDR-37,2025-09-07T08:15:00,,Open,Low,v1.3,UAT,Backend
DDR-38,2025-09-08T14:20:00,,In Progress,Medium,v1.4,QA,UI
DDR-39,2025-09-09T13:05:00,2025-09-12T18:50:00,Closed,Critical,v1.5,Prod,API
DDR-40,2025-09-10T10:00:00,,Open,High,v1.2,QA,Backend
DDR-41,2025-09-11T09:45:00,,Open,Medium,v1.3,UAT,UI
DDR-42,2025-09-12T16:30:00,2025-09-14T19:05:00,Resolved,Low,v1.4,Prod,Database
DDR-43,2025-09-13T08:55:00,,In Progress,High,v1.5,QA,API
DDR-44,2025-09-14T11:15:00,,Open,Medium,v1.2,UAT,UI
DDR-45,2025-09-15T09:25:00,2025-09-18T15:40:00,Closed,Low,v1.3,Prod,Backend
DDR-46,2025-09-16T10:50:00,,Open,Critical,v1.4,QA,UI
DDR-47,2025-09-17T14:05:00,,Open,High,v1.5,UAT,Database
DDR-48,2025-09-18T09:35:00,2025-09-20T13:55:00,Resolved,Medium,v1.2,Prod,API
DDR-49,2025-09-19T12:25:00,,In Progress,Low,v1.3,QA,Backend
DDR-50,2025-09-20T08:40:00,,Open,High,v1.4,UAT,UI
DDR-51,2025-09-21T11:10:00,2025-09-23T17:30:00,Closed,Medium,v1.5,Prod,Database
DDR-52,2025-09-22T09:00:00,,Open,Low,v1.2,QA,Backend
